RPeakID,RPeakTime,ParticipantID
75,47.105,17
76,47.698,17
77,48.293,17
78,48.888,17
79,49.48,17
80,50.081,17
81,50.69,17
82,51.3,17
83,51.899,17
84,52.498,17
85,53.11,17
86,53.71,17
87,54.306,17
88,54.877,17
89,55.454,17
90,56.033,17
91,56.617,17
92,57.203,17
93,57.797,17
94,58.418,17
95,59.044,17
96,59.679,17
97,60.284,17
98,60.887,17
99,61.486,17
100,62.078,17
101,62.616,17
1,0.449,18
2,1.288,18
3,2.075,18
4,2.909,18
5,3.747,18
6,4.565,18
7,5.38,18
8,6.183,18
9,6.961,18
10,7.721,18
11,8.466,18
12,9.201,18
13,9.936,18
14,10.69,18
15,11.459,18
16,12.233,18
17,12.995,18
18,13.786,18
19,14.576,18
20,15.347,18
21,16.132,18
22,16.941,18
23,17.722,18
24,18.492,18
25,19.264,18
26,20.014,18
27,20.712,18
28,21.418,18
29,22.129,18
30,22.837,18
31,23.515,18
32,24.237,18
33,24.992,18
34,25.754,18
35,26.513,18
36,27.303,18
37,28.063,18
38,28.798,18
39,29.563,18
40,30.335,18
41,31.058,18
42,31.794,18
43,32.532,18
44,33.244,18
45,33.937,18
46,34.632,18
47,35.322,18
48,35.988,18
49,36.666,18
50,37.363,18
51,38.067,18
52,38.763,18
53,39.515,18
54,40.295,18
55,41.028,18
56,41.799,18
57,42.554,18
58,43.274,18
59,44,18
60,44.712,18
61,45.402,18
62,46.059,18
63,46.728,18
64,47.411,18
65,48.092,18
66,48.767,18
67,49.412,18
68,50.066,18
69,50.719,18
70,51.361,18
71,52.021,18
72,52.699,18
73,53.389,18
74,54.079,18
75,54.818,18
76,55.596,18
77,56.357,18
78,57.078,18
79,57.838,18
80,58.593,18
81,59.324,18
82,60.026,18
83,60.724,18
84,61.412,18
85,62.081,18
86,62.686,18
1,0.129,19
2,0.698,19
3,1.269,19
4,1.836,19
5,2.398,19
6,2.951,19
7,3.507,19
8,4.065,19
9,4.634,19
10,5.197,19
11,5.755,19
12,6.316,19
13,6.893,19
14,7.48,19
15,8.075,19
16,8.681,19
17,9.275,19
18,9.869,19
19,10.466,19
20,11.043,19
21,11.602,19
22,12.15,19
23,12.696,19
24,13.255,19
25,13.837,19
26,14.439,19
27,15.034,19
28,15.661,19
29,16.327,19
30,16.997,19
31,17.639,19
32,18.254,19
33,18.847,19
34,19.43,19
35,20.009,19
36,20.582,19
37,21.147,19
38,21.711,19
39,22.277,19
40,22.857,19
41,23.441,19
42,24.017,19
43,24.582,19
44,25.155,19
45,25.741,19
46,26.33,19
47,26.91,19
48,27.478,19
49,28.046,19
50,28.616,19
51,29.181,19
52,29.742,19
53,30.291,19
54,30.843,19
55,31.413,19
56,32.009,19
57,32.611,19
58,33.221,19
59,33.851,19
60,34.497,19
61,35.133,19
62,35.746,19
63,36.36,19
64,36.965,19
65,37.571,19
66,38.17,19
67,38.754,19
68,39.342,19
69,39.932,19
70,40.523,19
71,41.125,19
72,41.711,19
73,42.303,19
74,42.916,19
75,43.542,19
76,44.171,19
77,44.792,19
78,45.405,19
79,46.022,19
80,46.634,19
81,47.227,19
82,47.797,19
83,48.363,19
84,48.916,19
85,49.469,19
86,50.049,19
87,50.7,19
88,51.377,19
89,52.062,19
90,52.726,19
91,53.371,19
92,54.008,19
93,54.635,19
94,55.241,19
95,55.824,19
96,56.394,19
97,56.959,19
98,57.529,19
99,58.137,19
100,58.767,19
101,59.418,19
102,60.047,19
103,60.653,19
104,61.165,19
105,61.777,19
1,0.13,2
2,0.664,2
3,1.197,2
4,1.72,2
5,2.241,2
6,2.759,2
7,3.283,2
8,3.814,2
9,4.361,2
10,4.891,2
11,5.424,2
12,5.951,2
13,6.47,2
14,6.991,2
15,7.507,2
16,8.014,2
17,8.515,2
18,9.006,2
19,9.505,2
20,9.995,2
21,10.482,2
22,10.973,2
23,11.467,2
24,11.967,2
25,12.478,2
26,13,2
27,13.526,2
28,14.056,2
29,14.58,2
30,15.108,2
31,15.629,2
32,16.147,2
33,16.66,2
34,17.168,2
35,17.665,2
36,18.161,2
37,18.656,2
38,19.148,2
39,19.634,2
40,20.113,2
41,20.593,2
42,21.073,2
43,21.555,2
44,22.039,2
45,22.521,2
46,23.014,2
47,23.512,2
48,24.01,2
49,24.504,2
50,25.006,2
51,25.506,2
52,26.014,2
53,26.528,2
54,27.029,2
55,27.53,2
56,28.033,2
57,28.539,2
58,29.04,2
59,29.543,2
60,30.043,2
61,30.542,2
62,31.038,2
63,31.533,2
64,32.032,2
65,32.539,2
66,33.053,2
67,33.57,2
68,34.087,2
69,34.614,2
70,35.158,2
71,35.707,2
72,36.244,2
73,36.791,2
